t,I,D,S,R
236.0,59116,9697,5655762,275425
237.0,57490,9736,5654811,277963
238.0,57163,9774,5653872,279191
239.0,56751,9809,5652929,280511
240.0,54980,9858,5651992,283170
241.0,53268,9897,5651030,285805
242.0,51597,9945,5650044,288414
243.0,49963,9971,5649061,291005
244.0,48149,10010,5648086,293755
245.0,47678,10047,5647118,295157
246.0,47180,10090,5646162,296568
247.0,46707,10132,5645221,297940
248.0,44865,10184,5644262,300689
249.0,42981,10224,5643301,303494
250.0,41031,10270,5642344,306355
251.0,39602,10316,5641401,308681
252.0,39661,10353,5640464,309522
253.0,39865,10398,5639531,310206
254.0,39565,10440,5638615,311380
255.0,39465,10470,5637688,312377
256.0,38309,10503,5636770,314418
257.0,37165,10541,5635849,316445
258.0,36955,10577,5634950,317518
259.0,37508,10614,5634069,317809
260.0,38093,10649,5633204,318054
261.0,37500,10691,5632392,319417
262.0,37567,10726,5631585,320122
263.0,37061,10763,5630781,321395
264.0,36192,10799,5629999,323010
265.0,35717,10831,5629250,324202
266.0,35605,10864,5628549,324982
267.0,35559,10894,5627852,325695
268.0,35181,10930,5627133,326756
269.0,34881,10967,5626418,327734
270.0,34459,10998,5625708,328835
271.0,34101,11027,5625000,329872
272.0,33763,11063,5624283,330891
273.0,33491,11091,5623572,331846
274.0,33355,11118,5622865,332662
275.0,32684,11149,5622163,334004
276.0,32414,11185,5621458,334943
277.0,32138,11218,5620763,335881
278.0,31882,11248,5620060,336810
279.0,31597,11279,5619361,337763
280.0,32204,11298,5618667,337831
281.0,32624,11332,5617961,338083
282.0,32101,11362,5617260,339277
283.0,31808,11390,5616548,340254
284.0,31044,11417,5615829,341710
285.0,31299,11447,5615125,342129
286.0,31222,11479,5614424,342875
287.0,31725,11508,5613729,343038
288.0,32059,11534,5613037,343370
289.0,31098,11569,5612350,344983
290.0,30586,11603,5611657,346154
291.0,30327,11638,5610975,347060
292.0,29983,11675,5610281,348061
293.0,29621,11714,5609592,349073
294.0,29321,11742,5608891,350046
295.0,29156,11779,5608185,350880
296.0,28858,11817,5607473,351852
297.0,28460,11851,5606750,352939
298.0,28109,11878,5606034,353979
299.0,27790,11911,5605309,354990
300.0,27515,11945,5604572,355968
301.0,27215,11981,5603854,356950
302.0,27130,12015,5603150,357705
303.0,27004,12049,5602441,358506
304.0,26809,12082,5601730,359379
305.0,26608,12117,5601015,360260
306.0,26428,12148,5600293,361131
307.0,26259,12182,5599567,361992
308.0,26130,12219,5598838,362813
309.0,26092,12249,5598114,363545
310.0,25965,12284,5597397,364354
311.0,25727,12323,5596663,365287
312.0,25395,12354,5595922,366329
313.0,24935,12389,5595183,367493
314.0,23974,12423,5594434,369169
315.0,23636,12459,5593667,370238
316.0,23694,12498,5592904,370904
317.0,23391,12541,5592132,371936
318.0,22711,12578,5591348,373363
319.0,21961,12618,5590557,374864
320.0,21467,12661,5589742,376130
321.0,20938,12696,5588909,377457
322.0,21326,12736,5588067,377871
323.0,22023,12774,5587216,377987
324.0,21555,12820,5586372,379253
325.0,21194,12859,5585533,380414
326.0,20608,12890,5584697,381805
327.0,20243,12923,5583857,382977
328.0,19800,12964,5583011,384225
329.0,20092,13003,5582182,384723
330.0,20061,13043,5581360,385536
331.0,19591,13081,5580543,386785
332.0,19383,13117,5579715,387785
333.0,18946,13156,5578874,389024
334.0,18691,13193,5578040,390076
335.0,18404,13234,5577183,391179
336.0,18325,13277,5576322,392076
337.0,18250,13317,5575468,392965
338.0,17802,13366,5574622,394210
339.0,16975,13414,5573770,395841
340.0,16405,13457,5572911,397227
341.0,16139,13502,5572048,398311
342.0,15754,13547,5571181,399518
343.0,15476,13595,5570319,400610
344.0,15334,13643,5569454,401569
345.0,15270,13696,5568552,402482
346.0,14697,13759,5567625,403919
347.0,13825,13820,5566679,405676
348.0,13261,13899,5565709,407131
349.0,12812,13965,5564713,408510
350.0,13319,14038,5563694,408949
351.0,13860,14118,5562648,409374
352.0,12971,14200,5561583,411246
353.0,12120,14293,5560491,413096
354.0,11195,14392,5559348,415065
355.0,10394,14490,5558154,416962
356.0,9201,14597,5556907,419295
357.0,9042,14703,5555609,420646
358.0,8963,14813,5554274,421950
359.0,7935,14932,5552900,424233
360.0,7347,15043,5551397,426213
361.0,6877,15158,5549785,428180
362.0,5662,15259,5548114,430965
363.0,4695,15369,5546381,433555
364.0,5224,15473,5544597,434706
365.0,6209,15573,5542769,435449
366.0,5432,15672,5540900,437996
367.0,4286,15779,5538994,440941
368.0,2735,15880,5537057,444328
